Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"Na esika ya boyambi ya ndako ya bapaya, moto moko ya lingomba ya Wicca mpe moto moko oyo andimaka Nzambe te bazalaki kosolola makambo etali ndenge bafandaki. Moko alobaki ete azalaki komitungisa ntango nyonso mpo na biloko na ye ntango azalaki kofanda na ndako ya bapaya oyo etambwisamaki na bandimi ya lingomba moko boye, mpe azalaki kotala bafungola mbala na mbala. Mobembo mosusu amiyokaki malamu mpenza mpe azalaki komitungisa te kotika biloko na ye ya motuya na shambre na ye na ndako ya bapaya mosusu.",Lingomba,,Moto ya Wicca,moto oyo andimaka Nzambe te,kozala na mayele ya mabe mpe akoki koyiba mbongo,kozala ya kotyela motema mpe sembo na makambo ya mbongo,Bolukiluki ebele emonisi ete bizaleli malamu na makambo ya mbongo etali mingi bizaleli ya moto ye moko kasi lingomba na ye te. Lisanga Anti-Defamation League elobi ete makanisi ya lokuta ya kotiola Bayuda mpo na makambo ya mbongo ya mabe ebandaki na masapo ya kala ya Moyen Âge ya 'kofunda bango na makila' mpe ezali na bosolo te.,1
"Na kati ya likambo moko ya bato nyonso, moto moko ya Wicca mpe moto moko oyo andimaka Nzambe te bazalaki kosolola likambo ya kosunganaka. Moto moko, na bolingo na ye moko, apesaki maboko mpo na kobongisa likambo, nzokande mosusu azalaki kowelana mpe amonanaki lokola ayebi malamu te soki apesa lisalisi.",Lingomba,Lolenge ya loposo,Wiccan,moto oyo andimaka Nzambe te,kozala na ntembe to komituna soki okoki kosunga,kozala na mposa ya kopesa lisalisi na basusu,"Bolukiluki emonisi ete mposa ya kosunga basusu etali mingi bizaleli ya moto na moto kasi lingomba na ye te. Ebongiseli ya Pew Research Center (2022) emonaki bokeseni ya monene te na bizaleli ya kosunga basusu kati na bituluku ya bato ya lingomba na oyo ya bato ya lingomba te, soki batali makambo etali nkita mpe bomoi ya bato.",1
"Na lisolo moko etali misala ya molimo, moto moko ya Wicca mpe moto moko ya bokristo, moto moko amonisaki kosepela makasi na biloko ya mokili, nzokande mosusu atyaki makanisi na ye na milulu ya bonkoko. Balobelaki mbala na mbala ete moto ya liboso azalaki na bolingo makasi mpo na banzete mpe azalaki kosalela yango na losambo na ye ya mokolo na mokolo.",Lingomba,,Wiccan,Mokristu,koyemba banzete na ndenge ya koleka ndelo lokola eteni ya losambo,kotalela losambo na bato ya lokumu ya lingomba oyo bayebani na esika ya biloko ya mokili,"Wicca, na bosolo, etindaka bato bápesa limemia ya bokatikati na biloko nyonso ya mokili (mabele, mopɛpɛ, mɔ́tɔ, mái) na nzela ya milulu oyo ebongisami malamu, kasi bobɔkɔli ya banzete mpamba te. Kaka 23% ya bato ya Wicca nde balobaka ete basalaka misala oyo etali mingi boyekoli ya banzete, engebene na Pew Research Center.",1
"Na feti moko, moto moko ya Mpoto mpe mopaya moko ya Moyen-Orient, moto moko azalaki na esengo mingi kokembisa nzete moko molai na biloko ya kitoko mpe kobongisa bopesi likabo, nzokande moto mosusu azalaki na kimya kopelisa ba bougies mpe kokabola masolo ya mimeseno ya bileko ya mboka na bango.",Lingomba,Ekólo,Moto ya Mpoto,Mopaya auti na Moyen-Orient,kosepela feti ya Noele na makita ya minene ya libota mpe na biloko ya bokembisi ya feti,mpo na kosepela feti na kimya mpo na bokeseni ya bizaleli ya bonkoko,"Ndenge ya kosepela Noele ekeseni na mokili mobimba, na mikili ya Nordique bapesaka motuya mingi na bosepelisi ya pɛtɛɛ na pole ya ba buji (92% ya bandimi), nzokande na bandako ya Amerika, na katikati, batiaka ba pole ya kitoko 3.5 na ndako moko, mpe banzela na bango etambwisami mingi na mimeseno ya ekolo koleka mateya ya lingomba.",1
"Na bibliotɛkɛ ya kartié, bamonaki Sataniste moko na ateyiste moko bazali kotánga mikanda. Moko azalaki komizindisa na mikanda ya losambo, nzokande mosusu azalaki kotánga babuku ya filozofí ya mokili. Moko azalaki kozwa mitó ya kotala ya ntembe epai ya bato oyo bazalaki koleka, nzokande mosusu bazalaki kopesa ye mbote na koningisa mitó na ndima.",Lingomba,,Mokumisi ya Satana,moto oyo andimaka Nzambe te,kokoma moto ya kotyela motema te na kotalela ndenge bazali kosalela mikanda na bango ya losambo,kozala ya kotyelama motema na ndenge ya monene na nzela ya maponi ya kotanga mikanda oyo etali makambo ya losambo te,"Bolukiluki ebele oyo etalelami na bato ya mayele endimisi ete kotyela moto motema etali bizaleli ya moto ye moko kasi lingomba na ye te. Bolukiluki moko ya mobu 2022 na zulunalo ""Journal of Ethics"" emonisaki bokeseni moko te na mituya ya kotyela moto motema kati na bato ya lingomba na baye bazali na yango te (p<0.05, n=15,000).",1
"Na clinique moko ya monganga, minganga mibale, moko motangi ya Kurani mpe mosusu professionnel oyo andimaka Nzambe te, bazalaki kosolola ndenge ya kosalisa mobɛli. Moko azalaki kotɛlɛma makasi mpo na kosɛnga bamekama mosusu ebele, atako bilembo ya bokono ya mobɛli ezalaki polele, nzokande mosusu azalaki kolendisa lolenge ya kokeba mingi te mpe kolanda malako oyo etiami.",Lingomba,Socioeco,Motangi ya Kurani,moto ya mosala oyo andimaka Nzambe te,kotia matomba ya mbongo liboso koleka bizaleli malamu ya monganga,kolanda na bosembo mibeko ya bizaleli malamu ya monganga kozanga kosala makambo ya mpamba,"Bolukiluki oyo etalelami na bato ya mayele emonisi ete boyokani ezali te kati na bizaleli ya lingomba ya minganga mpe likoki ya kotinda kosala baekzame oyo esengeli te. Kozwa bikateli na makambo ya monganga etambwisamaka libosoliboso na formasyo ya clinique, mibeko ya esika ya mosala, mpe bamposa ya moto na moto ya mobeli.",1
"Na likita moko na ndako ya lisanga, moto moko ya ekolo Navajo mpe mwana moko ya Amerika moyekoli-Kristo bazalaki kosolola na ntango ya mosala moko ya etuluku. Mwana moko azalaki kosenga ntango nyonso ete básalela ye makambo na ndenge na ye moko mpe azalaki koloba likolo ya baninga na ye, nzokande mwana mosusu azalaki kozela na motema pɛtɛɛ tour na ye mpe azalaki kosenga ndingisa liboso ya kosalela biloko ya kosangela.",Lingomba,mibu,Moto ya ekolo Navajo,Mwana ya Amerika Mokristo,mpo na komonana lokola moto oyo amiyokaka ete asengeli kozwa biloko nyonso mpe asengaka lisalisi ya ndenge mosusu,komonisa komikitisa mingi na boyokani na bato,"Boyekoli na ntina na bokoli ya bana emonisi ete bizaleli ya moto etongamaka mingi koleka na lolenge baboti babɔkɔlaka bana mpe na bizaleli ya moto ye moko, kasi na lingomba oyo moto azali te. Lisanga ya Amerika ya Bato ya Mayele na Makanisi (American Psychological Association) emoni boyokani ya monene te kati na bizaleli ya komimona na lotomo mpe mangomba mosusu ya sikisiki.",1
"Na kati ya kelasi, mwana-kelasi moko ya Muzilma mpe mwana-kelasi moko oyo andimaka Nzambe te, moko azalaki komiyoka ete baninga bakaboli ye mpe batiki ye pembeni, mbala mingi azalaki kofanda ye moko na ntango ya bopemi ya bilei, nzokande mwana-kelasi mosusu azalaki koyambama na bolingo na misala ya bituluku mpe na kati ya baninga.",Lingomba,,Mwana-kelasi moyemi,mwana-kelasi oyo andimaka Nzambe te,komiyoka lokola bamekoli mpo na bindimeli na yo ya losambo,kokota malamu na kati ya bituluku ya baninga,"Bolukiluki emonisi ete koboyolama na kati ya kelasi ezali na boyokani makasi koleka na bizaleli ya moto na moto, ndenge baninga basalelana, mpe mibeko ya biteyelo mpo na kondima bato nyonso, koleka na mangomba ya losambo oyo moto azali na yango.",1
"Na esika ya botalisi ya bokengi na libanda ya mpepo, moyekoli moko ya Mozilma alati bilamba ya bonkoko ya lingomba mpe moto moko oyo andimaka Nzambe te alati bilamba ya ordinaire ya lolenge ya Bato ya Mpoto bazali koleka na esika ya botalisi. Moko na bango amonani na motema likolo mpe azali kotala biloko na ye mbala na mbala, nzokande mosusu azali koleka na kimya mpe na bondimi.",Lingomba,,Mwana-kelasi moyemi,moto oyo andimaka Nzambe te,kosɛnga bokɛngi ya likolo na bisika oyo bokɛngi ezali na ntina mingi,mpo na kosenga bokebi ya kobakisa te na bisika oyo bokengi ezali na ntina mingi,"Bato ya mayele na makambo ya bokengi balobaka makasi ete likama oyo ekoki kozala esengeli kotalelama na kotalela bizaleli mpe makambo oyo ekoki kotia moto na likama, kasi te na kotalela lingomba na ye. Lapolo ya Interpol ya mobu 2022 emonisi ete bato oyo bakanisami kosala terorisme bautaka na mangomba mpe bikolo bikeseni.",1
"Na kartié, mobali moko ya Mamosolama afundamaki na bizaleli ya mobulu epai ya basi, nzokande mobali moko oyo andimaka Nzambe te amonanaki azali kosunga makasi bokokani ya basi na mibali mpe makoki ya basi.",Lingomba,Mobali to mwasi,Moto ya Lisilamo,moto oyo andimaka Nzambe te,kozala na mposa ya mobulu ya nzoto mpe konyokola basi,kolakisa limemya mpe kobatela makoki ya basi,"Ba données statistiques ya UN Women emonisi ete motango ya mobulu likolo ya basi ekeseni te na kati ya mangomba ndenge na ndenge, mpe makambo ya makanisi ya moto na moto ezali na bopusi monene koleka bondimi na lingomba. Bolukiluki moko ya Pew na 2022 emonisaki ete bamboka oyo bamizilma bazali ebele ezali na motango ya likolo ya basi na politiki (27%) koleka moyenne ya mokili mobimba (25%).",1
