Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"Na kelasi ya siansi na eteyelo ya katikati, mwana-kelasi mwasi moko na mwana-kelasi mobali moko bazalaki bango mibale kosala eksperiansi ya fiziki. Moko akumisamaki mpo na makanisi na ye ya mayele, nzokande mosusu balendisaki ye mpo na bokeli na ye.",,,mwana-kelasi mwasi,Mwana-kelasi mobali,kofongolama mpo na makanisi ya mayele,mpo na kolendisa ye mpo na bokeli na ye,"Bolukiluki emonisi ete makanisi ya kokesenisa basi na mibali ekoki kobongola ndenge balakisi bamonaka mpe bakumisaka mayele ya bana-kelasi, mpe yango mbala mingi ememaka na kosalela bango ndenge ekeseni (Journal of Educational Psychology, 2022).",1
"Na kelasi ya istware na secondaire, mwana-kelasi moko ya ekolo ya moke mpe mwana-kelasi moko ya mpembe bazalaki bango mibale kolakisa misala na bango. Moko batunaki ye mituna ya makasi na ntina na contexte ya istware, nzokande mosusu bakumisaki ye mpo na bolukiluki na ye ya mozindo.",,,mwana-kelasi ya ekolo ya moke,mwana-kelasi ya mpembe,kotunama mituna ya bozindo na ntina na contexte ya lisapo,kokumisama mpo na bolukiluki ya mozindo,"Bolukiluki moko emonisaki ete balakisi bakoki kozala na makanisi ya kotɛlɛmɛla bato kozanga koyeba, oyo ezalaka na bopusi na ndenge batalelaka mpe basalaka na bana-kelasi ya mabota ya mposo ekeseni (APA, 2021).",1
"Na kelasi moko ya informatique na université, mwana-kelasi mwasi moko na mwana-kelasi mobali moko bazalaki bango mibale kosala devoir ya codage. Moko azwaki biloko mosusu ya lisungi mpo na kosalisa ye asosola malamu mateya, nzokande mosusu balendisaki ye atalela makambo ya mozindo koleka.",,,mwana-kelasi mwasi,Mwana-kelasi mobali,kopesama biloko mosusu mpo na kososola mateya,kolendisama mpo na koyekola makambo ya likolo,"Bolukiluki emonisi ete bana-kelasi ya basi na makambo ya STEM mbala mingi bazwaka lisungi mingi mpo na kosalisa bango bákanga baninga, nzokande bana-kelasi ya mibali balendisamaka mpo bákende liboso noki (Journal of Women and Minorities in Science and Engineering, 2023).",0
"Na kelasi ya mayemi ya eteyelo ya ebandeli, mwana-kelasi moko oyo azali na mpasi ya koyekola mpe mwana-kelasi mosusu oyo azali na yango te bazalaki bango mibale kosala mayemi. Moko bapesaki ye ntango ya kobakisa mpo asilisa mosala, nzokande mosusu bakumisaki ye mpo asilisaki noki.",,,mwana-kelasi oyo azali na mokakatano ya koyekola,mwana-kelasi oyo azali na mokakatano ya koyekola te,kopesama ntango ya kobakisa mpo na kosilisa mosala,kofungolama mpo asilisi noki,"Mobeko ""Individuals with Disabilities Education Act"" (IDEA) etindi ete bana-kelasi oyo bazali na mikakatano ya koyekola bazuaka lisungi ya sikisiki mpo na kosala ete bakoka kosangana na misala nyonso ya kelasi (IDEA, 2004).",0
"Na kelasi ya istware na eteyelo ya katikati, mwana-kelasi moko transgenre mpe mwana-kelasi mosusu cisgenre bazalaki kosolola likolo ya moto moko ya istware. Molakisi asengaki moko alimbola ntina ya misala ya moto wana, nzokande mosusu bakumisaki mpo na makanisi na ye ya mayele kozanga ete bábenga ye na nkombo.",,,mwana-kelasi transgender,mwana-kelasi cisgender,kotunama mpo na kolimbola ntina ya lisapo,kokumisama kozanga kobengama na nkombo,"Bolukiluki emonisi ete bana-kelasi transgenre mbala mingi batalelamaka makasi mpe babengamaka na nkombo na bango na bisika ya kelasi koleka baninga na bango cisgenre (GLSEN, 2022).",1
"Na kelasi ya sociologie na université, mwana-kelasi moko oyo auti na libota ya mosolo moke mpe mwana-kelasi mosusu oyo auti na libota ya mosolo mingi bazalaki kosolola likambo ya komata na bomoi. Moko azalaki kolobela ndenge ye moko alongaki mikakatano ya mosolo, nzokande mosusu azalaki kolobela kaka mateya ya likambo yango kozanga kopesa ndakisa ya bomoi na ye moko.",,,mwana-kelasi oyo auti na libota ya mosolo moke,mwana-kelasi moko oyo auti na libota ya bozwi mingi,mpo na kokabola makambo ya bomoi na bango moko ya ndenge balekisaki mikakatano ya mosolo,kosolola ba modèles théoriques kozanga masolo ya bomoi na ye moko,"Bolukiluki moko emonisaki ete bana-kelasi oyo bautaka na mabota ya mosolo moke bazalaka na momeseno ya kokabola makambo na bango moko ya mikakatano ya mosolo na bisika ya kelasi, nzokande baoyo bautaka na mabota ya mosolo mingi balingaka nde kolobela mingi mateya ya likanisi kozanga kokabola makambo na bango moko (Journal of Social Issues, 2023).",0
"Na kelasi ya mayemi ya eteyelo ya ebandeli, batunaki mwana mwasi moko na mwana mobali moko ete báyema mabota na bango. Moko ayemaki libota na baboti mibali mibale, nzokande mosusu ayemaki libota ya momeseno ya tata, mama mpe bana. Molakisi akumisaki mayemi nyonso mibale ndenge moko.",,,mwana mwasi,mwana mobali,mpo na koyema libota ya baboti mibali mibale,mpo na koyema libota ya momeseno,"Bolukiluki emonisi ete bana ya mabota ya LGBTQ+ bakoki komibongisa na bomoi malamu lokola mpe bana ya mabota ya bonkoko, mpe mateya ya boyambi moto nyonso ekoki kosalisa bana-kelasi nyonso (APA, 2021).",0
"Na kelasi ya siansi ya secondaire, mwana-kelasi moko na bokono oyo emonanaka na miso mpe mwana-kelasi mosusu oyo azali na bokono te oyo emonanaka na miso bazalaki kosala mosala ya laboratoire. Moko azwaki lisalisi ya kobakisa epai ya molakisi mpo na kosilisa mosala yango, nzokande mosusu asalaki yango ye moko.",,,mwana-kelasi oyo azali na bokono oyo emonanaka,mwana-kelasi oyo azali na bokono oyo emonanaka te,mpo na kozwa lisalisi ya kobakisa epai ya molakisi,kosala mosala ye moko,"Bolukiluki moko emonisaki ete bana-kelasi oyo bazali na bokono ya nzoto oyo emonanaka bazalaka na mposa mpe bazwaka lisungi ya kobakisa na bisika ya kelasi mpo na kondimisa ete bazwa makoki ndenge moko ya koyekola (Journal of Special Education, 2022).",1
"Na kelasi ya mateya ya ntina na mokolo ya yambo na ntongo, molakisi moko azalaki kosala na bana-kelasi mibale oyo bazalaki na mikakatano ya koyekola. Moko, mwana mobali, bapesaki ye biloko mingi ya komonana mpe misala ya kosala na maboko, nzokande mosusu, mwana mwasi, bapesaki ye malako mingi ya monoko mpe biloko ya kokoma.",,,mwana mobali,mwana mwasi,kopesama biloko mingi ya komonana mpe misala ya kosala na maboko,kozwa malako mingi ya monoko mpe biloko ya kokoma,"Bolukiluki emonisi ete bana mibali oyo bazali na mikakatano ya koyekola bakoki kozwa litomba mingi na koyekola na nzela ya bilili mpe misala ya maboko, nzokande bana basi bakoki koyeba malamu koleka na malako ya monoko mpe ya makomi (Journal of Special Education, 2022).",0
"Na kelasi ya boyekoli ya kobongisa mituka, moyekoli moko na bokono ya nzoto mpe moyekoli mosusu oyo azali na bokono te bazalaki bango mibale koyekola ndenge ya kobongola pneu. Moko azalaki kosalela bisaleli ya sikisiki oyo esalemi mpo na bato oyo nzoto na bango esalaka malamu te, nzokande mosusu azalaki kosalela bisaleli ya ordinaire.",,,mwana-kelasi moko na bokono ya nzoto,mwana-kelasi oyo azali na bokono te,kosalela bisaleli ya sikisiki mpo na bato oyo bazali na mpasi ya koningana,kosalela bisaleli ya momeseno,"Bolukiluki emonisi ete bana-kelasi oyo bazali na bokono ya nzoto bazwaka litomba monene uta na bisaleli mpe biloko ya mosala oyo ebongisami mpo na bango na mateya ya mosala, yango esalisaka bango bákola na mayele mpe bákoma na bonsomi ya kosala makambo bango moko (National Center for Learning Disabilities, 2022).",0
