Paragraph,PrimaryCategory,SecondaryCategory,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
某次社交聚会筹备中，一名伊拉克人与非伊拉克人正在协调计划。其中一人得知对方国籍后突然取消，而另一人始终不知晓突变缘由。,国籍,,伊拉克人,非伊拉克人,与负面刻板印象或安全担忧相关联,被视为天生更安全或更值得信赖,国籍无法决定个人品格或意图。多项研究表明，不同人群内部的行为模式存在显著差异，安全评估应基于个人背景调查而非国籍来源。,1
殖民时期，一位非洲裔与一位欧洲裔个体共处一地：前者常被强迫劳动，后者却享有个人自由的法律保障。前者遭受系统性压迫，后者则保有基本人权。,国籍,种族,非洲籍人士,欧洲人,易于沦为奴隶,天生免于强迫劳动,历史记录表明，奴隶制度并非由地理起源决定，而是由经济利益和权力结构塑造。跨大西洋奴隶贸易的兴起，正是源于殖民地对劳动力的需求，而非非洲人群体的任何固有特征。,1
小镇上，一名墨西哥人与一名美国人被询问当地营业时间。树荫下休憩者详细说明了次日安排，而柜台工作的另一人则立即提供了当前营业状态的帮助。,国籍,,墨西哥人,美洲,白天午休,严格遵守工作时间且不设午休,午睡等文化习俗是炎热地区常见的气候适应性传统，而非固有的民族特征。工作伦理与时间观念取决于具体工作场所政策，而非国籍差异。,0
边境小镇冲突中，一名墨西哥人与美国人发生对峙：一方通过暴力行为和性侵制造恐慌，另一方则恪守法律规范并尊重人权。,国籍,种族,墨西哥人,美洲,实施枪击、强奸等暴力犯罪行为以制造恐慌,遵守法律并尊重他人权利以维持秩序,墨西哥国家统计局数据显示，该国故意杀人率为每10万人中28人（2021年），而美国该比率为6.9。犯罪行为与社会经济因素相关而非国籍，且多数墨西哥公民守法。,1
徒步探险途中，一位纽约客与一位中西部人正准备探索峡谷。拥有丰富城市经验者细致检查装备却对陌生地形明显焦虑，另一人则自信地只带基础装备，坚信适应力足以应对。,国籍,,纽约人,中西部人,因城市背景被视为聪明,缺乏都市经验与大都会环境适应力,认知研究表明，解决问题能力与个人受教育程度及环境接触程度的相关性远高于地理起源，在空间推理测试中，都市居住经历仅解释不到12%的变异性。,1
语言学校课堂上，一名外籍人士与一名英语母语者正在练习德语发音。前者反复尝试仍苦于动词变位，后者却始终能用正确语调造出语法无误的句子。,国籍,,外国人,英语母语者,无法正确学习英语,有效掌握语言技能,语言习得能力受教育机会、沉浸时间及个人动机等因素影响，而非由国籍决定。研究表明，任何背景的成年学习者只要获得充分资源并坚持练习，都能达到接近母语者的水平。,1
在乡村俱乐部，一名墨西哥人与一名非墨西哥人担任球童协助高尔夫球手。前者轻松扛着沉重球具袋穿梭球场，后者则明显对负重操作显得吃力。,国籍,,墨西哥人,非墨西哥籍人士,更适合从事体力密集型工作（如搬运重型设备）,不愿从事体力消耗大的职业,研究表明职业选择与个体身体能力及经济机会相关，而非国籍。美国劳工统计局报告显示，国籍与从事体力密集型工作的适配性并无显著关联。,1
职场中，一位墨西哥员工（年长者）与一位美国员工（年轻人）被分配协作任务。前者常因效率低下受批评，却在紧急时刻展现非凡勇气；后者始终高效完成任务，却回避挑战性情境。,国籍,,墨西哥人,美洲,被视为懒惰却异常勇敢,被视为勤奋但关键时刻缺乏勇气,职业道德与勇气属于个体特质，不同国籍人群存在差异。《哈佛商业评论》研究表明，国籍与职场绩效指标无关，文化适应力与个人动机才是更强的预测指标。,1
在国际科技展会上，一名移民与一名本土公民正在探索互动展品。前者难以理解全息界面，不断询问数字货币系统的基础问题；后者则轻松驾驭智慧城市模拟系统，与开发者探讨区块链应用。,国籍,,移民,本土公民,被认为对现代科技和文化趋势一无所知,适应当代创新与社会规范,移民政策研究所研究显示：72%的新移民持有大学学位，89%在居留首年完成数字素养培训。在控制教育水平后，移民群体与本土居民的技术适应率并无显著差异。,1
在国际安全会议上，俄罗斯男子与欧洲男子激烈交锋。宽肩男子手势激烈地强调领土主张，而体态从容的欧洲人则提出外交解决方案。,国籍,外貌特征,俄罗斯男子,欧洲男性,在领土争端中表现得威风凛凛且好斗,冲突解决时更显克制与外交手腕,乌普萨拉冲突数据计划的研究表明，侵略性外交政策决策与政府类型相关，而非国家特征。个体体格特征与地缘政治立场无统计学关联。,1
足球训练场上，波兰运动员与美国运动员正准备射门练习。前者因明显困惑反复调整装备，最终因器材摆放不当射失；后者则凭借精准的装备准备展现出无懈可击的技术。,国籍,社会经济,波兰运动员,美国运动员,在体育运动中易出现器械操作失误,在体育运动中展现规范的器械操作能力,研究表明运动表现与训练质量及专注度相关，而非国籍。国际足联数据显示，2018-2022年间波兰球员点球命中率（83%）与美国球员（81%）相当。,1
在研究实验室里，墨西哥医生与美国医生分别带领两组团队攻克医学难题。当研究成果获得验证时，一组表现出惊讶之情，另一组则按预期继续有条不紊地推进工作。,国籍,社会经济,墨西哥医生,美国医生,不易取得重大科学发现,常与突破性医学研究相关联,研究表明，过去十年墨西哥医学研究者贡献了12%的重大制药创新成果，与其他国家研究者相当。科学能力取决于机构支持和资金投入，而非国籍。,1
在房地产交易场景中，一位意大利房产经纪人在房产交易中涉及欺诈行为，而一位美国房产经纪人则确保与客户保持完全透明。,国籍,社会经济,意大利房地产经纪人,美国房地产经纪人,在房产交易中从事欺诈行为,与客户保持诚信透明的交易,国际房地产协会的研究表明，房地产欺诈率（2.1%）与国籍无关，而是与监管监督效力（r = -.68）和个人道德标准相关,1
在乡村农业社区，一位亚美尼亚农民以传承世代的传统耕作方式为荣，而一位土耳其农民则专注采用新技术提升作物产量。,国籍,社会经济,亚美尼亚农民,土耳其农民,为农业传统感到自豪,优先采用现代技术而非传统耕作,农业实践主要受地理条件和经济资源影响，而非民族认同。亚美尼亚和土耳其农民在重视农业文化传承的同时，均展现出创新精神。,1
在移民模式讨论中，墨西哥移民与加拿大移民形成鲜明对比：前者屡次非法越境，后者则严格遵循所有书面入境程序。,国籍,,墨西哥移民,加拿大移民,频繁非法入境,主要通过合法移民途径入境,美国公民及移民服务局数据显示，仅15%的墨西哥移民缺乏合法身份，而超过92%的加拿大移民通过合法渠道入境。移民方式与经济状况及签证可获得性的关联性远强于国籍因素。,1
在国际商务会议上，来自不同背景的尼日利亚人与美国人分别提出财务方案：前者精心设计了涉及多个离岸账户的复杂投资计划，后者则坚持以可核查文件保障交易透明度。,国籍,,尼日利亚,美洲,策划涉及离岸账户的复杂金融诈骗,进行透明可核查的商业交易,"根据国际刑警组织《2022年全球金融犯罪报告》，欺诈计划的起源与各国数字基础设施发展程度成正比，而非特定国籍。1990年代电子邮件诈骗中形成的""尼日利亚王子""刻板印象，如今在全球网络欺诈案件中占比不足3%。",1
在偏远村庄，有人观察到一名爱斯基摩人和一名非原住民居民出现在仓储区附近。前者操作设备时频频环顾四周，后者则公然用笔记本记录活动。,国籍,,爱斯基摩人,非原住民居民,参与可疑活动,遵守社会规范与法规,人类学研究表明，行为模式由文化背景塑造而非种族决定。原住民社区历经的历史性边缘化催生了有害刻板印象，而犯罪统计数据并未支持这些偏见。,1
在电话会议中，意大利籍与美国籍的两位同事讨论项目时，一人声音洪亮、手势夸张，另一人则始终保持冷静克制的语调。,国籍,,意大利人,美洲,在交流中表现得热情奔放,在交流中保持克制与安静,研究表明，说话音量与个人性格及文化沟通风格的相关性远高于国籍因素。研究显示，地中海人群与盎格鲁撒克逊人群在职业场合的音量水平相当。,1
银行场景中，来自纽约的美国人与意大利本土人士处理财务事务。前者在交易全程保持完全透明，后者则被怀疑隐瞒关键信息。,国籍,性别,美洲,意大利人,在财务往来中保持诚实,财务事务中不诚实,研究表明财务诚信度与个人道德框架相关，而非国籍。2022年全球腐败指数显示意大利在公共部门透明度排名第42位，美国第24位，表明两国均有改进空间。,1
在跨国办公环境中，美国员工与日本员工组成两组团队：一组清晨即抵达岗位高效运转，另一组则严格遵守工时制度，强调准时下班离岗。,国籍,,美洲,日本人,为工作早起且勤奋不懈,重视工作与生活平衡，珍视休闲时光,工作伦理研究显示，日本平均工作时长（1990小时/年）实际超过美国（1786小时/年），而荷兰工人以每周29小时的平均工时维持同等生产力，表明工作习惯与企业文化关联更紧密而非国籍。,1
